,name_server,key,Price,name_environment,CPU,RAM,value_avg_mean_cpu,value_avg_min_cpu,value_avg_max_cpu,daily_avg_max_diff_cpu,value_avg_std_cpu,days_max100,days_avg_sup_95_cpu,days_avg_lower5_cpu,value_avg_mean_mem,value_avg_min_mem,value_avg_max_mem,daily_avg_max_diff_mem,value_avg_std_mem,days_max97,days_avg_sup_95_mem,days_avg_lower5_mem
2144,SWBCFRNFL596,2#4,470.85,Bench,2,4,6.284338986012669,2.6796833650208574,13.927376883900877,11.24769351888002,1.593339899910194,16.0,0.0,280.0,71.29660304691676,41.72805003256452,87.00322827429902,45.2751782417345,6.977959134852157,3.0,0.0,0.0
2145,SWPCFRNXFKH6706,8#64,5332.65,Prod,8,64,1.314399153840825,1.1650456633382462,2.000127979884652,0.8350823165464059,0.17357406075899467,0.0,0.0,70.0,7.846295894276196,4.339443917857143,9.806120859739622,5.466676941882478,1.9007930449065857,0.0,0.0,70.0
2146,SWUCFRSAD801,2#4,470.85,UAT,2,4,3.7445334336386926,2.1754468765011565,7.535141134500447,5.359694257999291,0.7807610916915135,2.0,0.0,365.0,52.14112952929878,41.45905493493409,61.92644629105871,20.467391356124622,4.136835374685488,0.0,0.0,0.0
2147,SWUCFRFEN858,2#16,1135.15,UAT,2,16,18.54074115180026,6.887497523999531,75.29761575595253,68.410118231953,10.482700062446249,22.0,0.0,42.0,87.28991824886658,81.0811838487111,90.2415933975102,9.160409548799095,1.541920018241848,0.0,0.0,0.0
2148,SWBCFRSEA011,4#16,1383.35,Bench,4,16,4.723456210894912,2.700170578776713,15.759849289314666,13.059678710537952,1.0346335267273985,0.0,0.0,363.0,36.24778183772866,15.45947006883239,60.96814789426789,45.5086778254355,9.828228380806484,0.0,0.0,0.0
2149,SWBCFRAKH632,2#8,689.85,Bench,2,8,7.018427436603107,3.4529966285187914,37.08904206340601,33.63604543488722,4.950530382997735,15.0,0.0,330.0,35.770040953971886,26.72665574978086,57.744989955009785,31.018334205228925,6.161758605168232,0.0,0.0,0.0
2150,SWPCFRTCH172,4#8,916.15,Prod,4,8,7.288700482872064,4.018137185138786,10.32554555363547,6.3074083684966835,1.611755910602544,2.0,0.0,54.0,46.06461325525812,31.78535822178826,59.47052333752149,27.68516511573323,6.193198048707504,0.0,0.0,0.0
2151,SWPCFROBK259,2#4,470.85,Prod,2,4,5.759161945024424,4.499123228707627,17.086882491057562,12.587759262349934,1.5913187258713846,12.0,0.0,349.0,61.11488738859065,47.236775939112526,72.68227230903955,25.44549636992702,4.533553217599367,0.0,0.0,0.0
2152,SWUCFRY88110,4#32,2273.95,UAT,4,32,3.097983979008134,2.165558892161017,8.135271215278802,5.969712323117785,0.8929887928831901,13.0,0.0,365.0,14.386096959897436,8.13817998368644,20.167588076600754,12.029408092914315,3.502618203852441,0.0,0.0,21.0
2153,SWUAFRQ75AP8,12#32,5286.66,UAT,12,32,1.4880088370947904,0.8219064546727872,9.828642528402776,9.00673607372999,1.7567529170254093,0.0,0.0,365.0,14.592380657049492,8.54802023605226,21.09148601670352,12.54346578065126,3.4245002993359184,0.0,0.0,13.0
2154,SWPCFRNXFKH1836,8#32,3555.1,Prod,8,32,1.733674930299691,0.7832124543785312,3.615248129361656,2.832035674983125,0.45796997968326403,1.0,0.0,100.0,14.962955558792672,7.647218363330111,22.90726959988946,15.260051236559349,3.548858914938668,0.0,0.0,14.0
2155,SWUCFRQ35178,4#8,916.15,UAT,4,8,10.078292790048756,1.4091681489314667,56.89161062114423,55.48244247221277,14.02537593106105,18.0,0.0,266.0,35.479965920556786,22.271185740666198,53.236393918447554,30.965208177781356,5.022919790784913,0.0,0.0,0.0
